ID,weight(kg)
1,58.7144549741617
2,24.968901335249043
3,68.71635875889098
4,47.75584734915398
5,34.1010743560888
6,28.447824390807043
7,35.492643578312
8,60.540889578329654
9,57.93169728666115
10,55.2355319186037
11,62.54127033527553
12,63.237054946387104
13,57.4968319047164
14,41.493785849149575
15,62.28035110610867
16,51.49568963387884
17,18.793812911633594
18,40.88497431442693
19,25.40376671719379
20,38.362755099147364
21,74.36960872417274
22,36.53632049497942
23,40.015243550537434
24,27.491120550528606
25,38.27578202275842
26,28.534797467196
27,57.583804981105345
28,57.1489395991606
29,36.101455113034675
30,24.273116724137438
31,60.9757549602744
32,65.84624723805561
33,45.58152043943025
34,64.1067857102766
35,47.060062738042376
36,53.14817808526888
37,70.54279336305893
38,25.142847488026945
39,63.41100109916502
40,24.621009029693255
41,46.538224279708686
42,58.366562668605894
43,61.671539571386006
44,29.92636668941921
45,47.581901196376094
46,55.06158576582578
47,24.360089800526396
48,27.404147474139663
49,63.758893404720794
50,46.19033197415288
51,69.67306259916941
52,47.9297935019319
53,56.71407421721585
54,34.79685896720042
55,55.06158576582578
56,23.316412883859
57,38.62367432831422
58,57.75775113388326
59,48.01676657832084
60,37.840916640813674
61,26.186524404694353
62,51.84358193943464
63,62.715216488053414
64,50.10412041165563
65,62.715216488053414
66,36.623293571368364
67,64.36770493944346
68,54.0179088491584
69,54.19185500193629
70,55.2355319186037
71,71.32555105055948
72,56.801047293604796
73,29.752420536641296
74,22.53365519635844
75,55.409478071381585
76,43.755085835262264
77,33.753182050533
78,56.62710114082691
79,65.58532800888878
80,33.49226282136617
81,34.79685896720042
82,34.01410127969986
83,54.365801154714205
84,67.93360107139043
85,42.71140891859487
86,60.80180880749651
87,47.75584734915398
88,49.66925502971088
89,68.19452030055729
90,48.79952426582139
91,53.49607039082471
92,32.013720522754
93,61.3236472658302
94,41.84167815470538
95,47.9297935019319
96,20.620247515801537
97,64.71559724499929
98,67.58570876583462
99,47.581901196376094
100,61.14970111305229
101,71.84738950889317
102,64.1067857102766
103,55.148558842214754
104,21.14208597413524
105,55.75737037693739
106,56.62710114082691
107,64.71559724499929
108,62.454297258886555
109,25.055874411638
110,30.796097453308718
111,57.93169728666115
112,68.28149337694623
113,62.62824341166447
114,55.5834242241595
115,51.23477040471201
116,47.9297935019319
117,69.23819721722467
118,66.28111262000036
119,54.0179088491584
120,27.83901285608441
121,57.67077805749429
122,62.54127033527553
123,62.715216488053414
124,54.27882807832526
125,54.97461268943684
126,23.66430518941479
127,41.754705078316434
128,41.92865123109432
129,28.012959008862296
130,65.75927416166667
131,51.23477040471201
132,26.969282092194902
133,66.62900492555616
134,36.01448203664573
135,28.447824390807043
136,60.10602419638491
137,66.62900492555616
138,65.41138185611086
139,53.75698961999154
140,31.143989758864493
141,67.84662799500148
142,55.2355319186037
143,43.842058911651236
144,71.76041643250423
145,39.580378168592674
146,57.4968319047164
147,46.27730505054183
148,71.15160489778157
149,45.23362813387445
150,53.583043467213656
151,64.28073186305451
152,58.88840112693961
153,57.40985882832746
154,28.969662849140747
155,56.88802036999377
156,60.19299727277385
157,75.76117794639592
158,57.322885751938514
159,59.236293432495415
160,40.015243550537434
161,62.8891626408313
162,62.193378029719725
163,56.62710114082691
164,69.67306259916941
165,61.932458800552865
166,61.23667418944126
167,58.19261651582801
168,64.28073186305451
169,53.583043467213656
170,77.50063947417493
171,30.88307052969766
172,34.622912814422506
173,64.19375878666554
174,42.71140891859487
175,25.490739793582748
176,17.663162918577243
177,66.45505877277827
178,49.66925502971088
179,37.40605125886893
180,29.230582078307606
181,61.84548572416392
182,55.49645114777053
183,57.75775113388326
184,70.36884721028105
185,53.49607039082471
186,24.968901335249043
187,55.670397300548444
188,59.236293432495415
189,59.236293432495415
190,16.27159369635403
191,65.32440877972192
192,63.49797417555396
193,27.404147474139663
194,41.23286661998273
195,46.19033197415288
196,22.098789814413692
197,62.10640495333078
198,70.10792798111416
199,62.54127033527553
200,57.93169728666115
201,26.6213897866391
202,51.32174348110095
203,46.62519735609763
204,19.75051675191203
205,32.27463975192086
206,60.019051119995964
207,70.54279336305893
208,25.83863209913855
209,66.3680856963893
210,25.490739793582748
211,25.40376671719379
212,23.83825134219269
213,63.58494725194291
214,25.83863209913855
215,59.32326650888436
216,47.14703581443132
217,44.62481659915176
218,15.401862932464525
219,58.01867036305009
220,57.67077805749429
221,59.0623472797175
222,51.669635786656755
223,73.15198565472744
224,67.0638703075009
225,25.316793640804846
226,58.45353574499484
227,66.7159780019451
228,29.404528231085493
229,68.45543952972412
230,69.15122414083572
231,36.97118587692417
232,59.4102395852733
233,60.540889578329654
234,45.66849351581919
235,21.663924432468946
236,51.84358193943464
237,54.19185500193629
238,49.234389647766136
239,58.7144549741617
240,46.27730505054183
241,54.887639613047895
242,72.97803950194952
243,35.405670501923055
244,51.49568963387884
245,56.36618191166005
246,60.45391650194071
247,61.062728036663344
248,61.23667418944126
249,30.970043606086605
250,54.104881925547346
251,56.62710114082691
252,27.230201321361747
253,59.0623472797175
254,69.67306259916941
255,64.97651647416612
256,62.715216488053414
257,49.40833580054402
258,59.497212661662275
259,61.671539571386006
260,52.1045011686015
261,29.143609001918662
262,48.103739654709784
263,18.09802830052199
264,74.89144718250643
265,21.92484366163579
266,26.273497481083297
267,51.84358193943464
268,56.71407421721585
269,64.88954339777717
270,49.32136272415508
271,25.142847488026945
272,65.06348955055506
273,50.017147335266685
274,55.49645114777053
275,68.19452030055729
276,67.0638703075009
277,58.7144549741617
278,63.58494725194291
279,33.23134359219931
280,25.142847488026945
281,46.19033197415288
282,25.490739793582748
283,47.9297935019319
284,54.365801154714205
285,49.66925502971088
286,54.19185500193629
287,50.71293194637829
288,56.19223575888216
289,67.41176261305671
290,67.75965491861254
291,25.229820564415903
292,52.27844732137939
293,38.362755099147364
294,36.79723972414625
295,71.15160489778157
296,15.923701390798229
297,58.27958959221695
298,49.495308876932995
299,47.060062738042376
300,54.71369346027001
301,25.316793640804846
302,64.4546780158324
303,67.23781646027882
304,27.404147474139663
305,57.75775113388326
306,59.32326650888436
307,61.14970111305229
308,58.27958959221695
309,39.928270474148476
310,35.23172434914517
311,68.19452030055729
312,52.191474244990445
313,78.8052356200092
314,44.885735828318644
315,54.97461268943684
316,67.32478953666777
317,75.84815102278489
318,41.493785849149575
319,75.58723179361803
320,65.32440877972192
321,50.62595886998935
322,50.886878099156206
323,67.93360107139043
324,45.32060121026339
325,61.584566494997034
326,52.62633962693519
327,21.837870585246847
328,56.279208835271106
329,34.44896666164462
330,57.23591267554954
331,48.2776858074877
332,67.32478953666777
333,28.621770543584958
334,58.88840112693961
335,63.32402802277605
