ID,Score
1,2
2,0
3,2
4,0
5,1
6,2
7,0
8,2
9,2
10,0
11,0
12,0
13,0
14,2
15,0
16,2
17,0
18,2
19,2
20,0
21,1
22,0
23,0
24,0
25,0
26,0
27,1
28,2
29,0
30,1
31,1
32,2
33,0
34,2
35,1
36,0
37,2
38,2
39,2
40,0
41,2
42,0
43,2
44,0
45,1
46,2
47,0
48,0
49,2
50,2
51,0
52,2
53,2
54,1
55,2
56,2
57,2
58,2
59,0
60,0
61,0
62,2
63,2
64,2
65,2
66,2
67,2
68,2
69,0
70,0
71,2
72,0
73,2
74,1
75,2
76,0
77,1
78,2
79,0
80,2
81,2
82,1
83,1
84,2
85,1
86,1
87,0
88,2
89,0
90,2
91,0
92,0
93,1
94,2
95,2
96,0
97,0
98,0
99,0
100,2
101,2
102,0
103,0
104,0
105,0
106,1
107,1
108,1
109,1
110,2
111,0
112,2
113,2
114,0
115,0
116,2
117,2
118,2
119,1
120,1
121,1
122,0
123,0
124,2
125,2
126,0
127,2
128,0
129,2
130,2
131,2
132,0
133,2
134,1
135,0
136,1
137,1
138,0
139,0
140,2
141,2
142,0
143,2
144,0
145,0
146,1
147,1
148,2
149,0
150,2
151,0
152,0
153,1
154,2
155,2
156,2
157,2
158,0
159,2
160,1
161,0
162,2
163,2
164,2
165,2
166,0
167,2
168,0
169,2
170,1
171,1
172,2
173,0
174,2
175,2
176,0
177,2
178,1
179,2
180,0
181,1
182,2
183,2
184,2
185,0
186,1
187,0
188,1
189,2
190,2
191,1
192,0
193,2
194,0
195,0
196,2
197,2
198,0
199,2
200,2
201,2
202,0
203,1
204,2
205,1
206,1
207,0
208,1
209,0
210,0
211,2
212,0
213,2
214,1
215,1
216,1
217,1
218,1
219,2
220,2
221,1
222,1
223,2
224,0
225,0
226,1
227,0
228,0
229,2
230,2
231,2
232,2
233,2
234,0
235,0
236,0
237,1
238,0
239,2
240,2
241,0
242,1
243,0
244,0
245,0
246,0
247,0
248,0
249,2
250,2
251,0
252,0
253,0
254,0
255,0
256,2
257,2
258,0
259,2
260,1
261,1
262,2
263,2
264,0
265,2
266,1
267,2
268,0
269,0
270,0
271,0
272,2
273,1
274,1
275,0
276,0
277,2
278,2
279,0
280,2
281,0
282,2
283,2
284,1
285,0
286,0
287,2
288,2
289,1
290,0
291,1
292,2
293,0
294,2
295,2
296,1
297,1
298,2
299,2
300,0
301,2
